Time,Wind speed (m/s),Wind direction (deg),Gust (m/s)
06:00,6.7,170,0
06:20,6.17,170,0
06:50,7.72,180,0
07:00,7.2,180,0
07:20,5.66,170,0
07:50,5.66,170,0
08:00,5.7,180,0
08:20,6.17,180,0
08:50,7.72,201,0
09:00,7.7,201,0
09:20,8.23,190,0
09:50,9.26,190,0
10:00,9.3,190,13.4
10:20,9.26,201,0
10:50,7.2,200,0
11:00,7.2,200,0
11:20,7.2,190,0
11:50,6.17,200,11.8
12:00,7.2,200,0
12:20,8.23,200,0
12:50,6.69,211,0
13:00,6.2,210,0
13:20,7.2,230,0
13:50,6.17,230,0
14:00,6.7,231,0
14:20,6.69,231,0
14:50,6.69,232,0
15:00,7.7,231,12.9
15:20,6.69,221,0
15:50,5.66,220,0
16:00,5.7,220,0
16:20,6.69,210,0
16:50,5.66,211,0
17:00,6.2,211,0
17:20,6.17,221,0
17:50,5.66,221,0
18:00,6.7,221,0
18:20,5.66,231,0
