Time,Wind speed (m/s),Wind direction (deg),Gust (m/s)
05:50,2.06,130,0
06:20,3.09,140,0
06:50,4.12,150,0
07:20,4.63,160,0
07:50,5.14,160,0
08:20,5.66,170,0
08:50,6.17,170,0
09:20,6.69,170,13.4
09:50,6.69,170,0
10:20,7.2,180,12.3
10:50,7.2,190,0
11:20,7.2,180,0
11:50,6.69,180,0
12:20,7.2,190,0
12:50,6.7,180,0
13:20,6.69,180,0
13:50,7.2,190,0
14:20,6.17,190,0
14:50,6.17,190,0
15:20,7.2,210,0
15:50,5.14,200,0
16:20,5.66,220,0
16:50,4.12,210,0
17:20,3.09,200,0
17:50,3.09,200,0
18:20,2.57,200,0
