Time,Wind speed (m/s),Wind direction (deg),Gust (m/s)
06:00,5.1,130,0
06:20,4.1,130,0
06:50,3.6,110,0
07:00,3.6,120,0
07:20,3.6,110,0
07:50,5.1,150,0
08:00,5.7,150,0
08:20,6.7,170,0
08:50,8.7,180,0
09:00,7.7,170,12.9
09:20,9.3,180,14.4
09:50,7.7,180,0
10:00,7.7,170,0
10:20,8.2,180,0
10:50,8.2,190,0
11:00,7.2,190,0
11:20,8.23,190,0
11:50,8.75,190,0
12:00,8.7,190,12.9
12:20,8.2,200,0
12:50,8.2,190,0
13:00,7.2,190,0
13:20,7.2,190,0
13:50,8.2,190,0
14:00,6.2,190,0
14:20,8.7,210,0
14:50,7.2,200,0
15:00,6.2,200,0
15:20,6.69,210,11.8
15:50,5.1,220,0
16:00,7.2,230,0
16:20,5.7,220,0
16:50,5.1,210,0
17:00,4.6,200,0
17:20,5.14,210,0
17:50,5.1,210,0
18:00,4.6,200,0
18:20,4.1,210,0
